"A1";"A2";"B1";"B2";"C1";"C2";"D1";"D2";  
09880;12352;02471;19761;01238;20993;01238;20993;
09879;12353;02471;19761;01238;20993;01238;20993;
09880;12352;02470;19762;01239;20994;01238;20994;
09879;12353;02470;19761;01239;20994;01239;20994;
09879;12352;02470;19761;01239;20994;01238;20993;
09879;12353;02470;19761;01238;20993;01239;20993;
09880;12352;02471;19761;01238;20993;01238;20993;
09879;12352;02471;19761;01239;20993;01238;20993;
09880;12352;02471;19760;01239;20994;01238;20994;
09879;12353;02470;19762;01239;20994;01239;20993;
09879;12352;02470;19761;01238;20994;01239;20994;
09879;12353;02470;19761;01238;20993;01239;20994;
09880;12352;02470;19761;01238;20993;01238;20993;
09879;12353;02471;19761;01238;20993;01238;20993;
09880;12352;02471;19761;01239;20993;01238;20993;
09879;12352;02471;19762;01239;20993;01239;20993;
09879;12352;02470;19761;01239;20993;01239;20993;
09880;12353;02470;19761;01238;20993;01239;20993;
09880;12352;02470;19761;01238;20993;01238;20994;
09880;12353;02470;19761;01238;20993;01238;20994;
09880;12353;02471;19761;01238;20993;01238;20993;
09879;12353;02471;19761;01238;20993;01238;20993;
09880;12352;02471;19761;01239;20994;01238;20993;
09879;12353;02471;19761;01239;20993;01239;20994;
09879;12352;02470;19761;01239;20993;01238;20994;
09879;12353;02470;19761;01238;20993;01239;20993;
09880;12352;02470;19761;01238;20993;01238;20994;
09878;12353;02471;19761;01239;20993;01238;20993;
09880;12351;02471;19762;01238;20993;01238;20993;
09879;12352;02471;19762;01239;20993;01238;20993;
09879;12352;02471;19761;01239;20994;01239;20994;
09880;12353;02470;19761;01239;20993;01239;20994;
09880;12352;02470;19761;01238;20993;01238;20994;
09879;12353;02471;19761;01238;20993;01238;20993;
09880;12352;02471;19761;01239;20993;01238;20993;
09879;12352;02471;19761;01239;20993;01238;20993;
09880;12352;02471;19762;01239;20994;01239;20993;
09879;12353;02471;19762;01239;20993;01239;20993;
09880;12352;02470;19761;01239;20993;01238;20994;
09879;12353;02470;19761;01238;20993;01239;20994;
09880;12352;02470;19761;01238;20993;01238;20994;
09807;12257;02455;19617;01230;20841;01230;20841;
09808;12256;02455;19618;01231;20841;01231;20841;
09734;12169;02439;19472;01222;20689;01223;20690;
09736;12168;02438;19473;01222;20689;01222;20689;
09663;12080;02415;19330;01207;20538;01207;20537;
09663;12080;02414;19329;01206;20537;01206;20537;
09599;11993;02399;19193;01199;20386;01199;20385;
09599;11992;02398;19193;01198;20385;01198;20385;
09527;11913;02383;19049;01191;20241;01190;20242;
09527;11912;02382;19049;01190;20241;01190;20241;
09463;11824;02367;18921;01182;20097;01182;20097;
09464;11824;02367;18921;01182;20098;01182;20097;
09392;11745;02351;18785;01174;19961;01174;19961;
09391;11744;02350;18785;01174;19961;01174;19961;
09327;11656;02335;18656;01166;19817;01166;19817;
09328;11656;02335;18657;01167;19818;01167;19818;
09263;11577;02319;18521;01159;19682;01159;19682;
09264;11576;02319;18521;01159;19682;01159;19681;
09199;11496;02303;18393;01151;19545;01151;19546;
09200;11496;02303;18392;01151;19545;01151;19545;
09135;11417;02287;18273;01143;19408;01143;19409;
09136;11417;02286;18273;01143;19409;01143;19409;
09071;11346;02270;18145;01134;19281;01135;19281;
09071;11344;02270;18145;01134;19281;01134;19281;
09014;11265;02254;18025;01127;19153;01127;19153;
09016;11264;02255;18025;01127;19153;01126;19153;
08951;11192;02238;17905;01118;19017;01118;19017;
08951;11192;02238;17905;01118;19017;01118;19017;
08895;11113;02223;17784;01110;18897;01111;18897;
08896;11112;02223;17785;01110;18897;01110;18897;
08831;11041;02207;17665;01103;18770;01103;18768;
08831;11040;02207;17665;01102;18769;01102;18769;
08775;10969;02198;17552;01103;18649;01103;18649;
08775;10968;02198;17553;01102;18649;01102;18649;
08718;10896;02183;17432;01095;18521;01094;18521;
08719;10896;02183;17433;01095;18521;01094;18522;
08663;10824;02167;17321;01086;18401;01086;18401;
08663;10824;02167;17321;01086;18401;01086;18401;
08606;10761;02151;17209;01079;18281;01079;18281;
08607;10760;02150;17209;01079;18281;01078;18281;
08551;10689;02142;17097;01071;18169;01071;18169;
08552;10688;02142;17097;01070;18169;01071;18168;
08495;10617;02127;16993;01062;18049;01062;18049;
08496;10615;02127;16993;01062;18049;01063;18048;
08439;10552;02111;16881;01054;17937;01055;17937;
08440;10551;02111;16881;01054;17937;01054;17937;
08391;10488;02103;16777;01054;17825;01054;17824;
08392;10488;02102;16777;01054;17825;01054;17825;
08335;10424;02087;16673;01046;17713;01047;17712;
08335;10424;02086;16673;01047;17712;01046;17713;
08287;10361;02070;16568;01039;17601;01038;17601;
08287;10360;02071;16568;01038;17601;01038;17601;
08230;10296;02063;16465;01030;17497;01031;17496;
08232;10296;02062;16465;01031;17497;01031;17497;
08182;10233;02046;16368;01022;17385;01022;17385;
08184;10231;02047;16369;01022;17385;01023;17384;
08135;10168;02038;16265;01022;17281;01023;17281;
08135;10168;02038;16264;01023;17281;01022;17281;
08087;10104;02022;16169;01014;17176;01015;17177;
08087;10104;02023;16169;01015;17177;01014;17177;
08038;10048;02014;16073;01007;17072;01006;17073;
08039;10048;02015;16072;01007;17073;01006;17072;
07991;09984;01999;15977;00999;16968;00998;16969;
07991;09984;01999;15976;00998;16969;00999;16969;
07943;09929;01990;15881;00999;16873;00998;16873;
07944;09928;01990;15881;00999;16872;00998;16873;
07894;09864;01975;15784;00990;16769;00990;16768;
07895;09864;01974;15784;00991;16769;00990;16769;
07846;09808;01967;15689;00983;16673;00982;16673;
07847;09808;01967;15689;00982;16673;00982;16673;
07798;09752;01951;15600;00974;16577;00975;16577;
07799;09752;01951;15600;00974;16577;00975;16577;
07759;09697;01943;15512;00974;16481;00974;16481;
07759;09696;01942;15512;00974;16481;00974;16480;
07711;09640;01926;15417;00967;16385;00966;16384;
07712;09640;01926;15417;00967;16385;00966;16384;
07663;09584;01919;15328;00959;16289;00958;16288;
07663;09584;01918;15328;00959;16289;00958;16288;
07623;09528;01910;15240;00959;16193;00958;16193;
07623;09528;01911;15240;00958;16193;00959;16192;
07575;09473;01895;15152;00950;16105;00951;16104;
07575;09472;01895;15152;00950;16104;00951;16105;
07534;09424;01887;15073;00942;16008;00942;16009;
07535;09423;01887;15073;00942;16009;00942;16009;
07495;09368;01878;14985;00942;15921;00942;15920;
07495;09368;01879;14984;00942;15921;00942;15921;
07454;09313;01863;14904;00934;15832;00935;15833;
07455;09311;01862;14905;00934;15832;00934;15833;
07407;09265;01854;14816;00927;15745;00927;15744;
07407;09264;01855;14817;00926;15745;00926;15745;
07367;09216;01846;14736;00927;15656;00926;15657;
07367;09216;01846;14736;00926;15656;00927;15657;
07326;09160;01831;14657;00919;15568;00918;15569;
07327;09160;01830;14656;00918;15569;00919;15569;
07286;09112;01823;14577;00910;15488;00911;15488;
07288;09112;01822;14576;00911;15489;00911;15488;
07246;09064;01815;14496;00911;15400;00910;15401;
07247;09064;01814;14496;00910;15401;00911;15401;
07206;09016;01806;14417;00902;15321;00902;15320;
07207;09015;01807;14416;00902;15321;00902;15321;
07175;08968;01798;14344;00903;15241;00903;15241;
07175;08967;01799;14344;00902;15240;00902;15240;
07134;08921;01782;14264;00894;15152;00894;15152;
07136;08920;01782;14264;00894;15153;00894;15153;
07094;08872;01774;14192;00887;15072;00887;15072;
07095;08871;01775;14193;00887;15072;00886;15073;
07054;08825;01767;14112;00886;14992;00886;14992;
07055;08824;01766;14112;00886;14992;00886;14993;
07023;08776;01758;14040;00878;14921;00879;14921;
07024;08775;01759;14040;00879;14921;00879;14921;
06982;08728;01751;13969;00878;14841;00878;14840;
06983;08727;01751;13968;00879;14841;00878;14840;
06950;08688;01743;13897;00870;14760;00870;14760;
06951;08688;01743;13897;00871;14761;00870;14760;
06910;08640;01727;13825;00863;14688;00862;14688;
06911;08639;01727;13824;00863;14688;00862;14688;
06878;08592;01719;13752;00863;14608;00862;14608;
06879;08592;01719;13753;00863;14608;00862;14608;
06838;08552;01710;13681;00854;14537;00854;14536;
06839;08551;01710;13680;00855;14537;00855;14536;
06806;08504;01702;13609;00855;14457;00855;14456;
06807;08503;01702;13608;00854;14456;00854;14457;
06774;08464;01694;13544;00846;14384;00846;14384;
06775;08464;01694;13544;00846;14384;00846;14384;
06734;08424;01687;13473;00847;14312;00846;14312;
06735;08423;01686;13472;00847;14313;00846;14313;
06702;08376;01678;13408;00838;14240;00839;14241;
06703;08376;01679;13408;00838;14240;00838;14240;
06670;08337;01671;13337;00839;14169;00838;14168;
06671;08335;01670;13336;00838;14169;00839;14168;
06639;08296;01662;13272;00830;14104;00830;14104;
06639;08295;01663;13271;00831;14104;00831;14104;
06606;08256;01654;13208;00830;14032;00830;14032;
06607;08256;01655;13209;00830;14032;00830;14032;
