00000;00000;00107;00802;00072;00896;00075;00756;00001;000;00002;000;
00371;00553;00139;00340;00016;00133;00015;00129;00001;000;00002;000;
00071;00079;02552;16750;01846;18370;01890;08971;00035;000;00028;003;
00000;00000;00033;04554;13882;10933;02654;17740;00036;000;05436;255;
01771;11140;02597;18228;01842;20120;01921;20097;00036;000;07477;000;
10107;11932;02783;19273;01837;19903;01866;20011;00035;000;07355;000;
10381;12242;02766;19987;01957;22285;02061;22283;00035;000;09845;000;
11065;13221;03061;21401;01994;22318;02045;22540;00035;000;10109;000;
11642;13815;03068;22568;02172;25542;02329;25579;00036;000;00900;001;
12543;15177;03524;24014;02086;22223;02017;22000;00035;000;09559;000;
11383;13493;03021;22019;02137;24841;02282;24867;00035;000;00443;001;
12247;14768;03445;23404;02046;21510;01962;21248;00035;000;08749;000;
11012;13018;02923;21252;02072;23827;02200;23843;00035;000;11576;000;
11790;14179;03299;22977;02113;23861;02183;24265;00035;000;11983;000;
12532;14936;03302;24412;02351;27972;02542;28052;00036;000;02483;001;
13652;16663;03904;26435;02233;23414;02123;23069;00036;000;10734;000;
11969;14154;03181;23155;02263;26363;02427;26422;00035;000;01437;001;
12954;15682;03672;24149;01973;19981;01858;19640;00035;000;07042;000;
10215;12074;02732;19631;01938;21772;02035;21764;00035;000;09336;000;
10858;12992;03024;21019;01965;21965;02036;22344;00036;000;09898;000;
11547;13686;03052;22392;02169;25336;02314;25372;00035;000;00758;001;
12460;15075;03503;24127;02121;22554;02038;22214;00036;000;09797;000;
11532;13636;03044;22286;02163;25150;02308;25178;00036;000;00640;001;
12388;14962;03489;23805;02079;21614;01967;21243;00036;000;08749;000;
11015;13036;02930;21258;02072;23817;02197;23831;00035;000;11568;000;
11792;14198;03313;22675;02023;21491;01960;21281;00036;000;08773;000;
11023;13048;02922;21282;02073;23850;02196;23861;00035;000;11590;000;
11795;14206;03308;22685;02017;21528;01959;21319;00036;000;08814;000;
11030;13082;02926;21322;02068;23906;02196;23915;00035;000;11647;000;
11813;14230;03309;22734;02026;21617;01969;21417;00036;000;08921;000;
11081;13128;02935;21420;02081;24037;02205;24048;00036;000;11786;000;
11866;14305;03328;22686;01989;20893;01905;20624;00035;000;08065;000;
10686;12642;02831;20609;02005;22995;02120;22993;00036;000;10648;000;
11400;13692;03178;21677;01907;19976;01827;19699;00035;000;07059;000;
10221;12080;02708;19672;01918;21825;02012;21808;00035;000;09338;000;
10847;12995;02995;20709;01856;19813;01811;19616;00036;000;06937;000;
10156;12021;02687;19570;01901;21703;01996;21687;00035;000;09191;000;
10773;12918;02975;20857;01927;21593;01969;21824;00036;000;09303;000;
11251;13387;02967;21847;02097;24592;02231;24607;00035;000;00282;001;
12087;14607;03368;22703;01899;19744;01809;19476;00036;000;06820;000;
10095;11938;02675;19433;01892;21520;01985;21502;00035;000;09017;000;
10692;12830;02963;20680;01910;21304;01952;21509;00035;000;08968;000;
11099;13181;02927;21526;02075;24175;02200;24186;00036;000;00029;001;
