
 *
 *
 *
 XTZ 660 pickup decoder booting ...  
  
"A1";"A2";"B1";"B2";"C1";"C2";"D1";"D2";"Act";"Act_Pos";"Deact";"Deact_Pos";  
06455;07626;01709;12356;01191;13194;01219;13110;00036;000;12837;007;
06659;07887;01803;12579;01159;12318;01142;12115;00035;000;11095;007;
06261;07380;01652;11966;01153;12756;01173;12680;00035;000;11914;007;
06438;07635;01737;12199;01132;12128;01118;11930;00036;000;10651;007;
06155;07282;01619;11782;01129;12559;01152;12476;00036;000;11461;007;
06333;07510;01701;11953;01095;11713;01082;11531;00036;000;09762;007;
05945;07029;01569;11376;01097;12103;01111;12024;00036;000;10506;007;
06106;07247;01641;11449;01044;11149;01033;10990;00035;000;08543;007;
05665;06702;01494;10827;01042;11489;01062;11409;00035;000;09203;007;
05804;06875;01571;10876;00999;10599;00987;10447;00035;000;07390;007;
05383;06366;01426;10274;00996;10880;01009;10795;00035;000;07903;007;
05503;06552;01472;10281;00948;09986;00932;09833;00035;000;05914;007;
05068;05980;01350;09663;00941;10197;00951;10121;00035;000;06059;007;
05168;06142;01392;09675;00899;09449;00887;09310;00035;000;04321;007;
04798;05666;01279;09142;00897;09634;00901;09554;00035;000;04444;007;
04886;05804;01314;09164;00861;08980;00847;08844;00035;000;03021;007;
04563;05384;01211;08686;00852;09134;00857;09061;00036;000;03085;007;
04634;05504;01249;08629;00809;08477;00801;08356;00036;000;01796;007;
04308;05093;01145;08206;00806;08616;00812;08543;00036;000;02243;007;
04370;05189;01169;08155;00767;08047;00761;07941;00035;000;01330;007;
04088;04832;01081;07794;00761;08166;00771;08098;00036;000;01753;007;
04139;04916;01105;07764;00733;07704;00729;07607;00035;000;01180;007;
03911;04624;01032;07462;00728;07811;00738;07741;00036;000;01478;007;
03958;04700;01052;07434;00697;07412;00695;07315;00035;000;01427;007;
03753;04454;00986;07181;00694;07513;00701;07442;00036;000;01046;007;
03803;04518;01002;07195;00671;07219;00671;07121;00035;000;01210;007;
03648;04336;00950;06990;00672;07303;00683;07237;00035;000;00933;007;
03687;04401;00966;06996;00651;07025;00652;06934;00036;000;01110;007;
03545;04221;00926;06804;00654;07106;00663;07041;00035;000;00771;007;
03584;04280;00937;06769;00630;06801;00631;06712;00036;000;00843;007;
03439;04087;00893;06586;00632;06880;00639;06810;00035;000;00546;007;
03471;04144;00900;06602;00616;06659;00621;06570;00035;000;00808;007;
03360;04009;00868;06454;00619;06734;00625;06667;00035;000;00603;007;
03396;04057;00881;06475;00608;06554;00610;06468;00036;000;00777;007;
03306;03944;00853;06355;00609;06624;00617;06558;00035;000;00600;007;
03340;03995;00865;06367;00598;06437;00601;06353;00035;000;00659;007;
03248;03877;00836;06247;00599;06511;00604;06440;00035;000;00483;007;
03282;03927;00848;06242;00584;06308;00586;06221;00036;000;00508;007;
03185;03796;00815;06122;00586;06375;00594;06303;00036;000;00325;007;
03215;03846;00828;06128;00576;06196;00582;06113;00036;000;00477;007;
